"Time","Vhcl.Steer.Ang"
"F1","F1"
"s","rad"
0,0
0.5,0.01951238327
1,0.08827974647
1.5,0.01375232544
2,-0.005334935617
2.5,-0.002362608677
3,0.005872289184
3.5,0.01516813878
4,0.01965350844
4.5,0.01985150576
5,0.02167431079
5.5,0.0205882024
6,0.01720102318
6.5,0.01678911783
7,0.01488116477
7.5,0.01293552853
8,0.01249699853
8.5,0.0143559929
9,0.0157549642
9.5,0.01653360017
10,0.01871749386
10.5,0.01951249875
11,0.018257007
11.5,0.0186516121
12,0.02039928176
12.5,0.02121720649
13,0.02102582715
13.5,0.01949733123
14,0.01817211322
14.5,0.02071576007
15,0.02085140347
15.5,0.02004031464
16,0.0193223618
16.5,0.01770429313
17,0.01557024568
17.5,0.01212840062
18,0.007217830047
18.5,0.002262565074
19,-0.003209546674
19.5,-0.008483131416
20,-0.01444430556
20.5,-0.0225604102
21,-0.0319459103
21.5,-0.03959068283
22,-0.04672848061
22.5,-0.05589551106
23,-0.06272770464
23.5,-0.06748428941
24,-0.07160683721
24.5,-0.07462871075
25,-0.07796827704
25.5,-0.08151129633
26,-0.08311274648
26.5,-0.08309741318
27,-0.08481058478
27.5,-0.08451251686
28,-0.08267340064
28.5,-0.08045319468
29,-0.07934068888
29.5,-0.07486972958
30,-0.07044631988
30.5,-0.07176663727
31,-0.07474644482
31.5,-0.07579258829
32,-0.07749973983
32.5,-0.07868845761
33,-0.0775283277
33.5,-0.0753133148
34,-0.07627478242
34.5,-0.0753153041
35,-0.07553306222
35.5,-0.07530363649
36,-0.07409382612
36.5,-0.07357183844
37,-0.07645444572
37.5,-0.07777361572
38,-0.07815683633
38.5,-0.07616951317
39,-0.07903895527
39.5,-0.07886106521
40,-0.07797977328
40.5,-0.07781842351
41,-0.08162527531
41.5,-0.08170909435
42,-0.08144575357
42.5,-0.08265693486
43,-0.08254227787
43.5,-0.08280771226
44,-0.08551401645
44.5,-0.08512845635
45,-0.08554276824
45.5,-0.08621835709
46,-0.08764979988
46.5,-0.0871880278
47,-0.08846828341
47.5,-0.09139514714
48,-0.09208792448
48.5,-0.09155944735
49,-0.09203138947
49.5,-0.09009308368
50,-0.08860053122
50.5,-0.0875793919
51,-0.08952043205
51.5,-0.09819000959
52,-0.1152449325
52.5,-0.1265247315
53,-0.1327623427
53.5,-0.1090503484
54,0.02845389396
54.5,0.2725363374
55,0.5635089278
55.5,0.8696506023
56,1.120601773
56.5,1.219463348
57,1.117941141
57.5,0.7675184608
58,0.2544417381
58.5,-0.3255570233
59,-0.8470981717
59.5,-1.162038207
60,-1.212645054
60.5,-1.087875843
61,-0.9005042315
61.5,-0.6721943021
62,-0.4403944314
62.5,-0.2174484432
63,-0.05474157259
63.5,0.03310519084
64,0.05096841231
64.5,0.03946927935
65,0.02673343942
65.5,0.02220226452
66,0.01934143901
66.5,0.01148624904
67,0.005659580696
67.5,0.006739282049
68,0.01127821114
68.5,0.007990911603
69,0.0008641754976
69.5,-0.003761991626
70,-0.006788089871
70.5,-0.0075453748
71,-0.008431086317
71.5,-0.01156817842
72,-0.01376156975
72.5,-0.01533504482
73,-0.01573933288
73.5,-0.01677474566
74,-0.01827335916
74.5,-0.01877350546
75,-0.01858273149
75.5,-0.01946185343
76,-0.01981932111
76.5,-0.01569929905
77,-0.0105309533
77.5,-0.01043584291
78,-0.009353545494
78.5,-0.006753678899
79,-0.006350507494
79.5,-0.007798184641
80,-0.005354454741
80.5,-0.00257256953
81,-0.0007161528338
81.5,-0.001989098266
82,-0.003126116237
82.5,-0.004326106515
83,-0.008841974661
83.5,-0.007240791339
84,-0.002240856411
84.5,-0.001225958578
85,-0.00117532583
85.5,0.0017202046
86,0.008349201642
86.5,0.01145547442
87,0.01294611581
87.5,0.01613179594
88,0.01864722185
88.5,0.02186739445
89,0.02630610205
89.5,0.0269150883
90,0.02598581277
90.5,0.02471093275
91,0.02745300718
91.5,0.02739214525
92,0.02907462046
92.5,0.0335242711
93,0.03143814951
93.5,0.02404839359
94,0.01736252569
94.5,0.01321732346
95,0.0119781103
95.5,0.006300355308
96,0.004932031967
96.5,0.03495417908
97,0.09815631807
97.5,0.1838909984
98,0.2955061197
98.5,0.406375289
99,0.4939785004
99.5,0.5748177767
100,0.6137981415
100.5,0.620362103
101,0.61783427
101.5,0.586284399
102,0.5363202095
102.5,0.4543970227
103,0.3354740143
103.5,0.2107653022
104,0.1093118414
104.5,0.02717942186
105,-0.0419395268
105.5,-0.08566579223
106,-0.1409159899
106.5,-0.2217613459
107,-0.3193218708
107.5,-0.4160625637
108,-0.5151072145
108.5,-0.5816832185
109,-0.6331533194
109.5,-0.6657934785
110,-0.6474806666
110.5,-0.6131185889
111,-0.5747664571
111.5,-0.5141601563
112,-0.425953567
112.5,-0.3104033172
113,-0.1838207245
113.5,-0.06738880277
114,0.01436091401
114.5,0.07905396074
115,0.105574429
115.5,0.1057120115
116,0.09703511
116.5,0.0820550099
117,0.07743182033
117.5,0.07532355934
118,0.06126628071
118.5,0.05602225661
119,0.0657139793
119.5,0.06371295452
120,0.06669542938
120.5,0.06677149236
121,0.06194505095
121.5,0.06415863335
122,0.05940533802
122.5,0.0619247146
123,0.06654205918
123.5,0.06055850908
124,0.06093404442
124.5,0.06988626719
125,0.06178869307
125.5,0.05771592259
126,0.05227969587
126.5,0.04474550486
127,0.03512900695
127.5,0.03037071787
128,0.03221267462
128.5,0.03741706908
129,0.03255626932
129.5,0.02905300818
130,0.02115956321
130.5,-0.04304353893
131,-0.1887686253
131.5,-0.4081694782
132,-0.6723929048
132.5,-0.8953102231
133,-1.020485401
133.5,-1.045201063
134,-1.054271579
134.5,-1.013795376
135,-0.8715924621
135.5,-0.6562319398
136,-0.4230879247
136.5,-0.196158722
137,-0.02395495586
137.5,0.04920879379
138,0.06535202265
138.5,0.06707448512
139,0.05493514985
139.5,0.04259157181
140,0.03688336536
140.5,0.02757138386
141,0.0137745589
141.5,-0.006431638263
142,-0.03458110243
142.5,-0.0598458685
143,-0.0838822946
143.5,-0.1085007787
144,-0.1295199096
144.5,-0.1475216746
145,-0.1550976038
145.5,-0.1531538069
146,-0.1451224387
146.5,-0.1257838607
147,-0.1092411205
147.5,-0.0855512321
148,-0.06262332201
148.5,-0.04579439014
149,-0.02506902255
149.5,-0.005891577806
150,0.007226909976
150.5,0.01423470955
151,0.01787671074
151.5,0.02058283426
152,0.01926399767
152.5,0.02125930972
153,0.02484071814
153.5,0.02273836546
154,0.02099941857
154.5,0.02219377458
155,0.02310427651
155.5,0.02168056741
156,0.01975245588
156.5,0.01738560759
157,0.01746716164
157.5,0.017526526
158,0.01621992327
158.5,0.01644502766
159,0.01633498073
159.5,0.01704660244
160,0.01862612925
160.5,0.02236337774
161,0.02455204725
161.5,0.02180885524
162,0.019993091
162.5,0.01922644489
163,0.01914766617
163.5,0.02218092605
164,0.02267915756
164.5,0.0202816017
165,0.01874010265
165.5,0.02018520981
166,0.0217395816
166.5,0.02148654126
167,0.01882117614
167.5,0.01620431431
168,0.01698989235
168.5,0.01761910692
169,0.01626937278
169.5,0.01379058696
170,0.01018986199
170.5,0.009303621948
171,0.00774170924
171.5,0.003602141514
172,-4.593078847e-005
172.5,-0.005774084013
173,-0.01079863403
173.5,-0.01326522138
174,-0.015799677
174.5,-0.01890682243
175,-0.02234129794
175.5,-0.02717448585
176,-0.03294463083
176.5,-0.034091793
177,-0.03722624108
177.5,-0.04039217904
178,-0.04099209234
178.5,-0.04013593495
179,-0.03962426633
179.5,-0.04037581012
180,-0.03917051852
180.5,-0.03776121885
181,-0.03675150871
181.5,-0.034459088
182,-0.03171844408
182.5,-0.0310462378
183,-0.02906891145
183.5,-0.02783007361
184,-0.02726302482
184.5,-0.01984911785
185,-0.01621132158
185.5,-0.01302665286
186,-0.008766321465
186.5,-0.005036341958
187,0.0006727175787
187.5,0.004269306548
188,0.008670173585
188.5,0.0140200723
189,0.01834314875
189.5,0.02163805999
190,0.02613071539
190.5,0.02951342985
191,0.03184080496
191.5,0.03420595452
192,0.03596107289
192.5,0.03677960485
193,0.03984134272
193.5,0.03949764371
194,0.0383970812
194.5,0.03998104855
195,0.03936574981
195.5,0.03796139359
196,0.03590297326
196.5,0.03373285756
197,0.03376203775
197.5,0.03262162954
198,0.03027344123
198.5,0.02977675013
199,0.02716308832
199.5,0.02627788857
200,0.02526529878
200.5,0.02373151667
201,0.02014291473
201.5,0.02011284046
202,0.01881285384
202.5,0.0136325974
203,0.01206370629
203.5,0.01219191495
204,0.01230572257
204.5,0.01212765556
205,0.01231718808
205.5,0.01222739834
206,0.01245757006
206.5,0.01252307929
207,0.01330605615
207.5,0.01358972769
208,0.01258166786
208.5,0.01164824795
209,0.01191267092
209.5,0.01264404878
210,0.01252944767
210.5,0.01237595547
211,0.01309321076
211.5,0.01322478801
212,0.01362483855
212.5,0.01352452952
213,0.01289552543
213.5,0.01248959731
214,0.01302841026
214.5,0.01317322627
215,0.01310008578
215.5,0.01287314575
216,0.01297604945
216.5,0.01295282226
217,0.01220770087
217.5,0.0121990284
218,0.01257770136
218.5,0.0132476138
219,0.01305625308
219.5,0.01253408007
220,0.01252204459
220.5,0.01294599753
221,0.0128403753
221.5,0.01267741341
222,0.01290652715
222.5,0.01321457513
223,0.01324354019
223.5,0.01304902975
224,0.01244644169
224.5,0.01272222586
225,0.01341695804
225.5,0.01324287243
226,0.01322293282
226.5,0.01346287224
227,0.01409767382
227.5,0.01347178128
228,0.01340079028
228.5,0.01367748063
229,0.01439665817
229.5,0.01445115451
230,0.01430827565
230.5,0.01404843014
231,0.01385305729
231.5,0.01397752017
232,0.0132289324
232.5,0.01349792536
233,0.01443039812
233.5,0.01492309757
234,0.01421719044
234.5,0.01358674746
235,0.01466586161
235.5,0.01401894074
236,0.01434682216
236.5,0.01551080029
237,0.01376473811
237.5,0.01325888373
238,0.01440438349
238.5,0.01454806142
239,0.01379359327
239.5,0.01399932429
240,0.01389123127
240.5,0.01442060526
241,0.01421461254
241.5,0.01484446228
242,0.01396816876
242.5,0.01374239754
243,0.01381097361
243.5,0.014104072
244,0.01477473043
244.5,0.01494081412
245,0.0142189702
245.5,0.01441326365
246,0.01480418071
246.5,0.01416797563
247,0.01482370123
247.5,0.0156133743
248,0.01617044024
248.5,0.01535410248
249,0.01521536335
249.5,0.01403252408
250,0.01258964464
250.5,0.01370922662
251,0.01487942226
251.5,0.01494557783
252,0.01542861387
252.5,0.01561712939
253,0.01508968603
253.5,0.01508703921
254,0.01585950889
254.5,0.01570234634
255,0.01622214727
255.5,0.01623615809
256,0.01610095799
256.5,0.01550704334
257,0.01503101457
257.5,0.01515270583
258,0.01557654887
258.5,0.01684148237
259,0.01731293648
259.5,0.01769548096
260,0.01789903082
260.5,0.01799683087
261,0.01804755814
261.5,0.01798987202
262,0.01787616499
262.5,0.0177152995
263,0.01748428307
263.5,0.01717988215
264,0.01687080413
264.5,0.01645348594
265,0.01596004516
265.5,0.01543700881
266,0.01485272031
266.5,0.01420960482
267,0.01353008021
267.5,0.01280303393
268,0.01203606185
268.5,0.01121147908
269,0.01034564525
269.5,0.009477468207
270,0.008539549075
270.5,0.007621833589
271,0.006638079882
271.5,0.005625214893
272,0.004617059603
272.5,0.003590035019
273,0.002530142199
273.5,0.001450315118
274,0.0003412820224
274.5,-0.0007309936918
275,-0.001830251538
275.5,-0.002941684099
276,-0.003990077879
276.5,-0.005096508656
277,-0.006145123392
277.5,-0.007214446552
278,-0.008237537928
278.5,-0.009245534427
279,-0.01025158167
279.5,-0.01120151673
280,-0.01214535628
280.5,-0.0130703263
281,-0.01393797249
281.5,-0.01478545647
282,-0.0155992778
282.5,-0.01634903997
283,-0.01707522012
283.5,-0.01773992367
284,-0.01836421527
284.5,-0.01892007142
285,-0.01941999048
285.5,-0.01987182908
286,-0.02028158493
286.5,-0.02061457373
287,-0.02089153416
287.5,-0.02106609382
288,-0.02120530233
288.5,-0.02127731219
289,-0.02125617303
289.5,-0.02112128399
290,-0.02096247487
290.5,-0.02072348632
291,-0.02035578154
291.5,-0.01992035657
292,-0.01939036138
292.5,-0.01877459697
293,-0.01804620773
293.5,-0.01721123792
294,-0.0162896663
294.5,-0.01526824478
295,-0.01414231304
295.5,-0.01289340202
296,-0.01150516234
296.5,-0.01002141833
297,-0.008402049541
297.5,-0.006664437242
298,-0.004793313332
298.5,-0.002782843076
299,-0.0006246416597
299.5,0.001677925582
300,0.004127811641
300.5,0.006693507079
301,0.00963212084
301.5,0.01116947457
302,0.01175428648
302.5,0.009489320219
303,0.01174073201
303.5,0.01567742229
304,0.01357217319
304.5,0.01439794339
305,0.01399679016
305.5,0.01228831522
306,0.01752376743
306.5,0.00953892339
307,-0.01265773084
307.5,-0.02290450968
308,-0.02105227672
308.5,-0.01447200403
309,-0.01022186317
309.5,-0.01092205103
310,-0.01963699237
310.5,-0.03042408451
311,-0.02261573076
311.5,-0.01734203659
312,-0.02276014909
312.5,-0.01192479488
313,-0.007978118025
313.5,-0.01312854048
314,-0.01611286774
314.5,-0.01437466405
315,-0.01033552829
315.5,-0.01309218537
316,-0.0161273703
316.5,-0.01636366732
317,-0.01492368896
317.5,-0.01507608499
318,-0.01594607159
318.5,-0.01381706353
319,-0.001852271263
319.5,0.01020652987
320,0.01733478531
320.5,0.02028342895
321,0.01968547888
321.5,0.01591070928
322,0.01152220927
322.5,0.01191564742
323,0.01264273748
323.5,0.01277633477
324,0.01299125794
324.5,0.01362306438
325,0.01405969542
325.5,0.01416986622
326,0.01467709988
326.5,0.01468777843
327,0.01360721048
327.5,0.01368167996
328,0.01464903075
328.5,0.0150316637
329,0.01514879428
329.5,0.01405069511
330,0.01477290783
330.5,0.01472815592
331,0.01481742505
331.5,0.01449210662
332,0.01421315316
332.5,0.01433906611
333,0.01524164621
333.5,0.01584676467
334,0.01584904641
334.5,0.0154936444
335,0.01412850525
335.5,0.0147585636
336,0.01562060323
336.5,0.01511722896
337,0.01580183581
337.5,0.01570156962
338,0.01463645045
338.5,0.01475986373
339,0.01600262523
339.5,0.01630295254
340,0.01550153829
340.5,0.01548549253
341,0.01587694138
341.5,0.01595121436
342,0.01554326341
342.5,0.01529801451
343,0.01504103653
343.5,0.01569438167
344,0.01621459797
344.5,0.01525822468
345,0.01486600563
345.5,0.01553400047
346,0.01607928611
346.5,0.01590772346
347,0.01660952903
347.5,0.01629096642
348,0.01611254923
348.5,0.01654621214
349,0.01651709899
349.5,0.0165950302
350,0.01710954681
350.5,0.0168593321
351,0.01645255461
351.5,0.01647501811
352,0.01709461771
352.5,0.01682509482
353,0.01673086919
353.5,0.01684154011
354,0.01748006418
354.5,0.01669054292
355,0.0158366859
355.5,0.01577458717
356,0.01622023806
356.5,0.01586567424
357,0.01556844823
357.5,0.01609895565
358,0.01592212729
358.5,0.01800432429
359,0.01923175901
359.5,0.01782193966
360,0.01643589512
360.5,0.01653862745
361,0.01691521518
361.5,0.0168702621
362,0.0167482309
362.5,0.01631836407
363,0.01622197405
363.5,0.01678042114
364,0.01646415144
364.5,0.0156104425
365,0.01587249711
365.5,0.01628423482
366,0.01643874682
366.5,0.01593790948
367,0.01555046346
367.5,0.0160023123
368,0.01691815816
368.5,0.01615293883
369,0.01599143632
369.5,0.01609983668
370,0.01537788007
370.5,0.0154376151
371,0.01614632457
371.5,0.01646531932
372,0.0161965955
372.5,0.01649105363
373,0.01693953201
373.5,0.01709386893
374,0.01653288119
374.5,0.01676861383
375,0.01592582464
375.5,0.0157713946
376,0.01621518843
376.5,0.01662790589
377,0.01704405807
377.5,0.01599738933
378,0.01604908146
378.5,0.01657720655
379,0.01691322029
379.5,0.01654811017
380,0.01653205976
380.5,0.01601327583
381,0.01551911328
381.5,0.01595623046
382,0.01626878604
382.5,0.01725714095
383,0.01649825089
383.5,0.0159526784
384,0.01682018302
384.5,0.0165431574
385,0.016267322
385.5,0.01701476984
386,0.01671059802
386.5,0.0154670896
387,0.01594480686
387.5,0.01632637717
388,0.01673081331
388.5,0.01667819731
389,0.01608416624
389.5,0.0157611277
390,0.01597001031
390.5,0.01626854762
391,0.0152905928
391.5,0.0158108063
392,0.01569677703
392.5,0.01462970953
393,0.01491449121
393.5,0.01646870747
394,0.01602829061
394.5,0.01575506851
395,0.01553356368
395.5,0.01545210462
396,0.0163624417
396.5,0.01678296924
397,0.01623218693
397.5,0.01618017815
398,0.01594896428
398.5,0.01597423665
399,0.0168970935
399.5,0.01664923877
400,0.01592105068
400.5,0.01541051921
401,0.01576309092
401.5,0.01610992663
402,0.01668870822
402.5,0.01625806838
403,0.01613035984
403.5,0.01684506051
404,0.01577380486
404.5,0.01576216705
405,0.01597453281
405.5,0.0152418036
406,0.01579762809
406.5,0.01555582229
407,0.01627196744
407.5,0.01637384109
408,0.01584207267
408.5,0.01587103307
409,0.01600959711
409.5,0.01620348357
410,0.01606727019
410.5,0.01619189419
411,0.01619796455
411.5,0.01620495506
412,0.01667134464
412.5,0.01606164314
413,0.01587652788
413.5,0.01650501974
414,0.01622555964
414.5,0.01613702625
415,0.01628118195
415.5,0.0180526115
416,0.01758210547
416.5,0.01668946072
417,0.01706482098
417.5,0.01766874269
418,0.01690233871
418.5,0.01651543193
419,0.01688220352
419.5,0.01633263379
420,0.01697508991
420.5,0.01616498455
421,0.01654820703
421.5,0.01785435714
422,0.01777057908
422.5,0.01644156314
423,0.01634878851
423.5,0.01648146287
424,0.01617612876
424.5,0.01561761461
425,0.01484835707
425.5,0.01395120285
426,0.01290258206
426.5,0.01174787246
427,0.0104039181
427.5,0.009029889479
428,0.007595842704
428.5,0.006031469908
429,0.004364763852
429.5,0.002693410497
430,0.0009302074322
430.5,-0.0008843662217
431,-0.002634338569
431.5,-0.004469544161
432,-0.00619656546
432.5,-0.00795415137
433,-0.009598998353
433.5,-0.01120051835
434,-0.01271565724
434.5,-0.01409664471
435,-0.0154105816
435.5,-0.01660575345
436,-0.01772880927
436.5,-0.01869126782
437,-0.01949364319
437.5,-0.02010817453
438,-0.02053519711
438.5,-0.02092639729
439,-0.02097257972
439.5,-0.02087873407
440,-0.02054470405
440.5,-0.01998391747
441,-0.01915866882
441.5,-0.01811541989
442,-0.01694312878
442.5,-0.01566864364
443,-0.01430633385
443.5,-0.01208548155
444,-0.007201530039
444.5,-0.006012594327
445,-0.008010081016
445.5,-0.01131288428
446,-0.02291226573
446.5,-0.02299224585
447,0.005305636209
447.5,0.004969632253
448,-0.01626285538
448.5,-0.02685883641
449,-0.0414850004
449.5,-0.05760497972
450,-0.0693076551
450.5,-0.07907676697
451,-0.0894960314
451.5,-0.09713814408
452,-0.09827275574
452.5,-0.0980418697
453,-0.09498738497
453.5,-0.08805586398
454,-0.0807890892
454.5,-0.07407513261
455,-0.06570267677
455.5,-0.05524200574
456,-0.04425356537
456.5,-0.03056911565
457,-0.01758861914
457.5,-0.008635815233
458,-0.0005325427628
458.5,0.01071091089
459,0.02118767612
459.5,0.03011862375
460,0.03643076494
460.5,0.04131368548
461,0.04179420695
461.5,0.04211860523
462,0.04274231941
462.5,0.04354960471
463,0.04148605838
463.5,0.03974651545
464,0.04035969824
464.5,0.04060370103
465,0.03801749274
465.5,0.03744537383
466,0.03623818606
466.5,0.03736991435
467,0.03727192804
467.5,0.03677011654
468,0.03736880049
468.5,0.03600446507
469,0.03400379419
469.5,0.03156737983
470,0.03078991547
470.5,0.0308411587
471,0.03011769801
471.5,0.02854612842
472,0.02847069129
472.5,0.02785256319
473,0.02637195028
473.5,0.02592155896
474,0.02502185479
474.5,0.02220082097
475,0.02140308917
475.5,0.02175858431
476,0.01979349926
476.5,0.01825005747
477,0.01831499301
477.5,0.0177274812
478,0.01617094874
478.5,0.01585351862
479,0.01721110195
479.5,0.01879238524
480,0.01765966602
480.5,0.01569524966
481,0.01506998483
481.5,0.01615149155
482,0.01577662863
482.5,0.01558081247
483,0.01603256539
483.5,0.01563463919
484,0.01586331427
484.5,0.0162297599
485,0.01578774117
485.5,0.01592531428
486,0.01588240825
486.5,0.01480499376
487,0.01493740734
487.5,0.01508150902
488,0.01476852875
488.5,0.015409871
489,0.01668481715
489.5,0.01640801691
490,0.0154908374
490.5,0.01543325186
491,0.01550641283
491.5,0.01608960517
492,0.01593486965
492.5,0.01513979305
493,0.0148185743
493.5,0.01554509718
494,0.01577933691
494.5,0.01639544591
495,0.01551831141
495.5,0.01551512256
496,0.0150414044
496.5,0.01519627217
497,0.01607097499
497.5,0.01850817353
498,0.01822278835
498.5,0.01679836027
499,0.01669231802
499.5,0.01729112491
